ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",Event,Instance
632769129,10/19/2024 10:35 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",Wonderful. We’ve been to The Powerhouse before and have enjoyed it as a professional venue every time. ,,,
632774471,10/19/2024 10:47 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$200,001 or above","Sound was a little off. But they were fantastic, so full of energy. I loved it",,,
632811543,10/19/2024 12:15 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,000 or below",Had a wonderful time. First time attending. Had nice conversation with Mr. Howell in lobby. Enjoyed a glass of wine and the entertainment was great. Look forward to going again.,,,
632811889,10/19/2024 12:12 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",excellent,,,
632862078,10/19/2024 2:09 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Very well done.,,,
633477179,10/20/2024 7:11 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000","Ukrainian band was fabulous, energetic, and just fun!  Evidentially they were struggling with sound system but we, in the audience, heard it quite loudly.  The singer, actually, was sometimes hard to hear.",,,
633518040,10/20/2024 9:06 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,,Very important and extremely entertaining experience.,"Thank you for bringing these performers to our area. Hi energy, highly enjoyable and timely/timeless music. Wonderful!",,
634500349,10/22/2024 4:28 PM,No,No,No,No,No,No,No,No,No,Yes,Yes,No,66+,"$50,001 - $100,000","Fabulous movie. The photography was breathtaking. Bonus: being able to meet and hear from the film makers. 
Even though it wasn't a large crowd, the intimate atmosphere of the PHT made this a very friendly,  welcoming atmosphere.    ",,,
635392251,10/24/2024 8:34 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above",Perfect!  Would not change a thing.  ,,,
635404266,10/24/2024 9:00 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$50,000 or below","A profoundly moving, important, and impactful event, presented in a way that dissolved barriers, welcomed all, and deepened and broadened perspectives. It was presented with grace, humor, inclusion, and honest emotion. It was an event I will remember. Please have more like this!",,,
635416843,10/24/2024 9:24 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000","I was highly impressed with the quality of the event. GESA staff/volunteers were very friendly and helpful. The facility was comfortable, the lighting and sound was great. ","I loved that a Native American was featured to share cultural and historical content from our point of view. Thank you for that, and I hope to see more in the future. ",,
635427752,10/24/2024 9:43 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Excellent,,,
635582170,10/24/2024 2:48 PM,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,66+,"$50,000 or below",It was educational and inspirational. ,,,
635612191,10/24/2024 3:58 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",Very interesting. I learned a few things about state history with regard to Native Americans. I would like to hear more about Native American belief systems.,Please ask audience members to refrain from ear-shattering whistles. I would prefer not to go home with an ear ache. You can show enthusiasm without hurting others.,,
635688801,10/24/2024 6:55 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,,Very well done presentation,,,
636056687,10/25/2024 12:14 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below","This was a wonderful presentation, full of heart and soul and history. ","Gesa was a perfect place, welcoming hospitality, comfortable space. Thankyou",,
636189689,10/25/2024 4:40 PM,No,No,No,No,No,No,No,No,No,Yes,Yes,No,36-45,"$100,001 - $200,000",Excellent!,,,
636465017,10/26/2024 8:06 AM,Yes,No,No,No,No,No,No,No,No,No,No,No,66+,,Very good,,,
636465974,10/26/2024 8:08 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,000 or below",Excellent in all respects.,,,
636467527,10/26/2024 8:12 AM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,56-65,"$100,001 - $200,000",Excellent. Some spotlighting was hit and miss a few times. But nothing too distracting. ,,,
636471714,10/26/2024 8:22 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Excellent. Very comfortable seating.,,,
636471759,10/26/2024 8:22 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",Great concert!  Enjoyed the event.,,,
636472236,10/26/2024 8:23 AM,No,No,No,No,No,No,No,No,Yes,Yes,No,No,66+,,I loved it because it was music from our era.,,,
636474874,10/26/2024 8:29 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,,"Very nice performance 
Well done",,,
636476254,10/26/2024 8:33 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Great,Book The Brothers Four while they still tour,,
636486506,10/26/2024 8:58 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",We enjoyed the show and the the cost /value was reasonable.,,,
636537234,10/26/2024 10:55 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below",Great venue. Loved the show- took me back to my childhood listening to those songs on my parents stereo. ,,,
636569241,10/26/2024 12:12 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Overall excellent !!!  This was the music genre of my youth...provide more of it.,,,
636584406,10/26/2024 12:46 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$50,000 or below","Well done. Simple staging. Good lighting. Excellent sound. Ticket price a value.

The band was very,very good.  Their covers of so many of my favorites from the ‘60s warmed my heart and made me feel young as I mouthed every word!",,,
636587017,10/26/2024 12:49 PM,No,No,No,No,No,No,Yes,No,No,No,No,No,56-65,"$200,001 or above",Just beautiful.   I'm really impressed with the lighting and sound quality.  ,,,
636592460,10/26/2024 1:04 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",Excellent. Especially welcomed and was please by the last selection for its inclusive theme for a divided country.,,,
636630493,10/26/2024 2:12 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$200,001 or above","Great show, everything was perfect",,,
636658857,10/26/2024 3:04 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",It was fantastic and lots of fun.  I would like to see them back again or other groups like this one.,,,
636724824,10/26/2024 5:30 PM,No,No,No,No,No,No,Yes,No,No,No,No,No,56-65,"$200,001 or above",Friendly & helpful staff and fun concert!,The only thing I would change is that the yellow lights at the very back wall behind the band were pointed too straight at the audience. Luckily they weren’t used too often. Other lighting was fine. Really a wonderful evening!,,
636800744,10/26/2024 8:38 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",Comfortable and great sound!,,,
637501545,10/28/2024 7:53 AM,Yes,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",Fantastic!  Loved every minute of the performance!  Would go again!,"The Honalee's was a wonderful evening for my husband and I.  We laughed, cried, and reminisced.  More special evenings with small bands reflecting the past and present.  Thank you for an enjoyable event!",,
637730370,10/28/2024 2:59 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,36-45,"$100,001 - $200,000",experience was excellent,"thank you for the broad range of events you offer, and especially the free events that provide opportunities to expand human understanding, such as this event.",,
637763287,10/28/2024 4:07 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$200,001 or above","Entire production was perfect, very enjoyable.",,,
637766636,10/28/2024 4:13 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$100,001 - $200,000",Wonderfull,,,
638107448,10/29/2024 9:02 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",good,excellent program,,
638408270,10/29/2024 6:34 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,46-55,"$50,001 - $100,000",Videos and lunch was excellent ,Maybe offer program during the week as employees could attend. ,,
640399966,11/02/2024 8:02 AM,Yes,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000","A great venue. Great sound, lighting and visuals.",Thanks for bringing in great talent. We will be back for more!,,
640401431,11/02/2024 8:08 AM,No,No,No,No,No,No,No,Yes,No,No,Yes,No,56-65,,👍✌️,It was nice that non alcoholic wine was being served.,,
640401482,11/02/2024 8:06 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Very good. Don’t need light in our eyes ,,,
640403276,11/02/2024 8:10 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,,Everything was good but need to work on the concession part as it takes too long,,,
640483488,11/02/2024 11:29 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above","The entire show was fabulous from lighting, sound and the band.  The staff were incredible and very helpful.  We would definitely go see them there again.",,,
640509041,11/02/2024 12:47 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,,"$100,001 - $200,000",I thought the Theatre and the Band as a nice venue and enjoyed the concert,"BATHROOM USAGE
I suggest a study be conducted of the number of Gender population attending the events.  Do you have more women or men attending events. Then have your capital improvements to meet those attendance demands for bathroom usage.
I suggest that the Men's bathroom be remodeled given the small square footage.
I suggest the installation of a bath tub urinal to increase usage and still maintain the square footage. Like Baseball stadiums.
The Lobby area was crowded during the intermission. 
THE LOBBY BAR
The Bar area created unusual lines in the crowd to meet the attendees thirst and should be accommodating, relocated and redesigned. 
IMMEDIATE SOLUTION
I suggest a water/soda vending machine be installed reducing the Bar visitation to just Alcohol. 
When buying a ticket, add the cost of two/ water sodas GESA tokens. The GESA token to be handed out at the entry checkpoint. . The GESA tokens would be reused when the machine collection occurs. Cost would be minimal, usage would increase and Bar area crowd reduced.",,
640540551,11/02/2024 1:41 PM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,56-65,"$50,000 or below",Excellent ,"Increase the beverage service capacity at intermissions, It will increase the needed funds for the non profit. I witnessed several folks walking away from the long lines at intermission and commenting about not wanting to wait. ",,
640542543,11/02/2024 1:40 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$50,001 - $100,000",Excellent. Enjoy seeing them every year.,,,
640572864,11/02/2024 2:54 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$50,000 or below",A bit too loud. But hey I’m old ,Everything was great. The staff was very helpful and nice. Great job,,
640577803,11/02/2024 3:08 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$50,001 - $100,000","It was incredible! Like the venue, very intimate. Staff is excellent and helpful.  Try to go see Pigs On The Wing every time they come around! Great band! ",The seats seem a bit cramped. ,,
