ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
476637490,01/24/2024 11:21 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$100,001 - $200,000",Outstanding ,
476639277,01/24/2024 11:41 PM,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,001 - $100,000",Very comfortable. We are so glad to have Mike Birbiglia come to the Power House.  ,
476639918,01/24/2024 11:50 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,66+,"$50,001 - $100,000","It was wonderful to be in an intimate space!  The only complaint I have is with the fog machine. I thought it was unnecessary and felt it made me cough a bit, as well as made my eyes watery.",
476640338,01/24/2024 11:56 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","Sound was great!! Couldn’t understand the smoke effect in the room, and I thought the lighting on Mike could’ve been better. However, overall, it was a great show!!! I was deeply touched at how vulnerable Mike allowed himself to become when telling his Walla Walla story. I feel like I have just, been to some kind of a Sacred service!! Good for him! Both my husband and I feel honored to have witnessed his processing of that story and still made us laugh. A great comedian and storyteller for sure.",
476640543,01/24/2024 11:55 PM,No,No,No,No,No,No,Yes,No,No,No,No,No,36-45,"$200,001 or above",Terrific.,I liked the clean comedy.
476641971,01/25/2024 12:20 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000","We had a great time with a very funny Mike Birbiglia! My wife was a little irritated, sinus wise, by the fog machine.",
476704328,01/25/2024 6:28 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$200,001 or above",Excellent,Nice to have drinks and snacks too!  This was our first time and we’ll be back! What a great venue
476705183,01/25/2024 6:30 AM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,36-45,"$100,001 - $200,000",Great venue just a little too much fog from the fog machine.,
476706737,01/25/2024 6:35 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$100,001 - $200,000",Perfect!,"I have nothing to say to improve anything! As always the staff was lovely, it was organized, the space is beautiful, and Birbiglia was hilarious. Loved it"
476708035,01/25/2024 6:42 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$200,001 or above","Loved it.  Laughed for 90 minutes.  I have watched all of his Netflix shows.  One of my favorite comedians.  And his connection to WW, while scarey and sad, makes it special to have him here.  It seemed smokey when we came in, but did not smell smokey.  Sound was fine.  After a week plus of snow, ice and cold tempertures, this show was exactly what was needed.",
476711326,01/25/2024 6:49 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,"$50,001 - $100,000",Amazing,
476711906,01/25/2024 6:55 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,,"Sat on stage, speakers facing audience. Hard to understand comedian because we were behind the amplifiers. Sometimes garbled in volume levels.",Have a least on speaker facing back to the stage for on stage seats e vents.
476723877,01/25/2024 7:28 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,46-55,"$50,001 - $100,000","Great venue, but it seemed smokey.  Sometimes hard to breath for my husband with asthma.  Overall,  great experience.",Open some doors to get fresh air.  
476732074,01/25/2024 7:51 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",Superb,"The staff was extremely friendly, helpful and courteous. "
476732889,01/25/2024 8:11 AM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,46-55,"$100,001 - $200,000","I attended the 9pm show, which was pushed back because of the earlier one running late. I really appreciated the venue staff clearly communicating the delay and making sure everyone knew what was going on. The sound was very clear but if I am totally honest it was at the lower end of audible. There was an obnoxious patron behind me who kept talking and as soon as she opened her mouth I pretty much couldn't hear Mike. I was in row LAA for what it's worth, so off to the side. I'm sure that made a difference.",I would really appreciate venue staff circulating behind rows or along the sides and reminding disruptive audience members to keep it down. I've seen two comedy shows at the Powerhouse and my experience at both of them was negatively affected by other audience members who were clearly drunk and couldn't keep their mouths shut.
476734826,01/25/2024 8:08 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,46-55,"$100,001 - $200,000","Awesome! Ambience, value, performance, Heather coming out to bring tickets to those waiting, ...overall experience was fantastic!","No need to contact me. But I'm happy to leave my info:
Jason Wicklund
509-301-9203
jhwick@yahoo.com"
476737913,01/25/2024 8:08 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$50,001 - $100,000","Mike was fabulous! Staff are always friendly and helpful. Never start on time, why?","Be more forceful about getting people to go to their seats, they block the entrance and never start on time "
476738866,01/25/2024 8:11 AM,No,No,No,No,No,No,No,Yes,No,Yes,No,No,36-45,"$100,001 - $200,000",Love attending events at the power house. Enjoy the smaller theater vibes. ,"Did not like the fog or whatever was being pumped in? It irritated my eyes, throat, made me (and others) cough, to the point of having to leave the theater, and stuffed up my nose. People with allergies will definitely be sensitive to stuff like that. Maybe it was a request of the performer? But if not, do not recommend doing that again, please!!"
476740810,01/25/2024 8:15 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$100,001 - $200,000",Everything was great. The sound in particular was well done. Clear and not too loud. Kept up with the volume changes of the comedian.,
476743133,01/25/2024 8:21 AM,No,No,No,No,No,No,No,Yes,Yes,No,No,No,56-65,,Great event,Will call line was blocking people with tickets from getting into the building. 
